Season,Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2023,"Troy Claunch","CHW","A",24,120,0.225,1.275862068,0.175,0.4625,0.3625,0.103448275,0.068965517,0.36585366,0.19512195,0.43902439,0.10492505,186,281,467,"sa3020346"
2024,"Tyler Baca","WSN","A",24,64,0.358974358,2.375,0.289473684,0.5,0.210526315,0.375,0,0.475,0.225,0.3,0.07168459,118,161,279,"sa3020347"
2023,"Johnathon Thomas","WSN","A",23,385,0.302631578,1.238636363,0.120535714,0.486607142,0.392857142,0.375,0.045454545,0.52542373,0.27966102,0.19491525,0.13058419,542,913,1455,"sa3020349"
2023,"Bryce Willits","CHW","A",23,365,0.311403508,1.122222222,0.194092827,0.426160337,0.379746835,0.266666666,0.133333333,0.37344398,0.26970954,0.35684647,0.07296137,546,852,1398,"sa3020352"
2022,"Ben Ross","MIN","A",21,89,0.301886792,0.857142857,0.264150943,0.339622641,0.396226415,0.285714285,0.142857142,0.625,0.21428571,0.16071429,0.08080808,168,228,396,"sa3020353"
2024,"Caleb Farmer","WSN","A",24,180,0.24074074,0.847826086,0.220183486,0.357798165,0.422018348,0.260869565,0.04347826,0.37272727,0.28181818,0.34545455,0.11185087,319,432,751,"sa3020354"
2023,"Matt Coutney","LAA","A",23,320,0.333333333,1.125,0.13559322,0.457627118,0.406779661,0.263888888,0.166666666,0.39779006,0.29834254,0.3038674,0.13307985,527,788,1315,"sa3020413"
2023,"Jacob Reimer","NYM","A",19,311,0.344086021,1.578947368,0.230366492,0.471204188,0.298429319,0.210526315,0.105263157,0.43229167,0.28125,0.28645833,0.07131012,528,678,1206,"sa3020416"
2024,"Brooks Brannon","BOS","A",20,120,0.337837837,1.4,0.22077922,0.454545454,0.324675324,0.16,0.12,0.37662338,0.28571429,0.33766234,0.20631068,133,279,412,"sa3020417"
2023,"Nick Morabito","NYM","A",20,120,0.38028169,2.235294117,0.225352112,0.535211267,0.239436619,0.058823529,0.058823529,0.375,0.20833333,0.41666667,0.11888112,167,262,429,"sa3020418"
2024,"Nick Morabito","NYM","A",21,101,0.508474576,3.454545454,0.183333333,0.633333333,0.183333333,0,0.09090909,0.28333333,0.21666667,0.5,0.07434053,177,240,417,"sa3020418"
2023,"John Garcia","HOU","A",22,294,0.267080745,1.415094339,0.204968944,0.465838509,0.329192546,0.226415094,0.075471698,0.50609756,0.20731707,0.28658537,0.11621856,470,683,1153,"sa3020419"
2023,"Andy Garriola","CHC","A",23,416,0.254295532,0.983471074,0.183673469,0.404761904,0.411564625,0.363636363,0.099173553,0.49834983,0.24422442,0.25742574,0.1269002,518,995,1513,"sa3020458"
2024,"Andy Garriola","CHC","A",24,330,0.301675977,0.734177215,0.271276595,0.308510638,0.420212765,0.227848101,0.202531645,0.48205128,0.2974359,0.22051282,0.17918216,459,886,1345,"sa3020458"
2023,"Cole Young","SEA","A",19,376,0.302788844,1.115789473,0.202380952,0.42063492,0.376984126,0.178947368,0.052631578,0.421875,0.21484375,0.36328125,0.05597789,668,779,1447,"sa3020459"
2023,"Tommy Specht","TEX","A",19,257,0.31372549,1.074074074,0.248322147,0.389261744,0.362416107,0.277777777,0.018518518,0.42857143,0.24025974,0.33116883,0.11557297,408,613,1021,"sa3020460"
2024,"Tommy Specht","TEX","A",20,231,0.251748251,0.746031746,0.219858156,0.333333333,0.44680851,0.349206349,0.015873015,0.32638889,0.28472222,0.38888889,0.12318029,339,554,893,"sa3020460"
2023,"Andrew Cossetti","MIN","A",23,143,0.373493975,0.771428571,0.279069767,0.313953488,0.406976744,0.171428571,0.171428571,0.42696629,0.31460674,0.25842697,0.14336918,226,332,558,"sa3020493"
2024,"Justin Bench","SFG","A",24,162,0.323529411,0.770833333,0.174757281,0.3592233,0.466019417,0.25,0.020833333,0.39423077,0.30769231,0.29807692,0.11247803,219,350,569,"sa3020494"
2023,"Seth Stephenson","DET","A",22,437,0.35125448,1.461538461,0.179487179,0.487179487,0.333333333,0.274725274,0.043956043,0.51929825,0.21754386,0.26315789,0.10664994,590,1004,1594,"sa3020495"
2023,"Austin Charles","KCR","A",19,296,0.296875,0.807228915,0.193548387,0.360215053,0.446236559,0.277108433,0.036144578,0.59693878,0.2244898,0.17857143,0.17466411,331,711,1042,"sa3020497"
2024,"Austin Charles","KCR","A",20,320,0.320441988,1.015384615,0.288043478,0.358695652,0.353260869,0.215384615,0.107692307,0.62631579,0.16842105,0.20526316,0.16639073,462,746,1208,"sa3020497"
2023,"Xavier Isaac","TBR","A",19,376,0.313901345,1.223529411,0.181818181,0.45021645,0.367965367,0.247058823,0.152941176,0.43644068,0.25847458,0.30508475,0.13114754,625,839,1464,"sa3020498"
2024,"Milo Rushford","KCR","A",20,105,0.169491525,1.75,0.051724137,0.603448275,0.344827586,0.2,0,0.44827586,0.18965517,0.36206897,0.10799136,193,270,463,"sa3020499"
2022,"Carter Young","BAL","A",21,71,0.288461538,1.933333333,0.16981132,0.547169811,0.283018867,0.066666666,0.066666666,0.35849057,0.26415094,0.37735849,0.08301887,98,167,265,"sa3020534"
2023,"Carter Young","BAL","A",22,388,0.327659574,0.956521739,0.22077922,0.38095238,0.398268398,0.217391304,0.032608695,0.35146444,0.28451883,0.36401674,0.12875817,581,949,1530,"sa3020534"
2023,"Dom Johnson","DET","A",22,245,0.363636363,1.244897959,0.24137931,0.420689655,0.337931034,0.224489795,0.081632653,0.44217687,0.27891156,0.27891156,0.10631896,380,617,997,"sa3020537"
2023,"Tyler Johnson","DET","A",23,71,0.257142857,1.545454545,0.2,0.485714285,0.314285714,0.181818181,0.09090909,0.33333333,0.16666667,0.5,0.17449664,124,174,298,"sa3020539"
2023,"Otto Kemp","PHI","A",23,330,0.324175824,1.121212121,0.243243243,0.4,0.356756756,0.196969696,0.106060606,0.38829787,0.32978723,0.28191489,0.1327832,536,797,1333,"sa3020577"
2023,"Douglas Hodo III","BAL","A",22,134,0.415384615,1.578947368,0.222222222,0.476190476,0.301587301,0.315789473,0,0.43076923,0.23076923,0.33846154,0.1,256,324,580,"sa3020614"
2024,"Chandler Pollard","TEX","A",20,222,0.360655737,1.606060606,0.27118644,0.449152542,0.279661016,0.212121212,0.03030303,0.38211382,0.22764228,0.3902439,0.17233294,303,550,853,"sa3020615"
2023,"Druw Jones","ARI","A",19,131,0.346666666,3.285714285,0.2,0.613333333,0.186666666,0,0.142857142,0.25974026,0.25974026,0.48051948,0.13193117,212,311,523,"sa3020676"
