Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2017,"Garrett Whitley","TBR","A",20,104,358,426,89,54,18,4,13,65,61,57,0,122,7,1,3,4,21,4,0.248603351,"sa874244"
2016,"Eric Jenkins","TEX","A",19,126,506,563,112,82,13,9,8,72,40,40,0,154,3,6,8,7,51,15,0.221343873,"sa874775"
2017,"Eric Jenkins","TEX","A",20,73,256,278,53,38,10,4,1,35,16,19,0,82,1,1,1,2,10,0,0.20703125,"sa874775"
2018,"Eric Jenkins","TEX","A",21,26,103,113,30,23,1,3,3,14,15,8,1,32,0,1,1,0,16,3,0.291262135,"sa874775"
2018,"Chris Betts","TBR","A",21,16,56,65,13,11,1,0,1,8,6,6,0,16,1,1,1,0,0,0,0.232142857,"sa874791"
2019,"Chris Betts","TBR","A",22,110,395,472,83,48,14,2,19,60,73,67,1,136,7,3,0,5,3,0,0.210126582,"sa874791"
2017,"Desmond Lindsay","NYM","A",20,65,214,251,47,28,10,1,8,40,30,33,0,77,2,2,0,2,4,2,0.219626168,"sa874792"
2016,"Lucas Herbert","ATL","A",19,96,335,367,62,44,11,1,6,29,30,18,0,96,5,5,4,3,2,4,0.185074626,"sa874793"
2017,"Lucas Herbert","ATL","A",20,101,375,414,91,61,21,1,8,40,50,26,0,74,10,1,2,11,3,0,0.242666666,"sa874793"
2017,"Bryce Denton","STL","A",19,19,70,75,11,6,4,0,1,2,4,4,0,18,0,1,0,5,2,1,0.157142857,"sa874798"
2018,"Bryce Denton","STL","A",20,91,329,356,85,62,14,1,8,38,34,23,0,82,2,1,1,5,4,0,0.258358662,"sa874798"
2019,"Bryce Denton","STL","A",21,25,90,97,17,10,4,1,2,8,11,5,0,25,2,0,0,1,1,0,0.188888888,"sa874798"
2018,"Mitchell Hansen","NYY","A",22,40,121,138,23,13,5,5,0,12,7,12,0,37,2,0,3,1,3,1,0.190082644,"sa874799"
2017,"Mitchell Hansen","LAD","A",21,74,263,299,52,35,9,3,5,32,25,32,2,75,2,2,0,4,11,3,0.197718631,"sa874799"
2018,"Mitchell Hansen","LAD","A",22,32,108,117,25,19,3,1,2,10,13,7,0,32,0,2,0,2,3,2,0.231481481,"sa874799"
2016,"Jalen Miller","SFG","A",19,112,457,500,102,72,20,5,5,65,44,26,0,107,6,5,6,2,11,5,0.223194748,"sa875016"
2017,"D.J. Wilson","CHC","A",20,88,310,348,71,38,16,8,9,56,45,33,0,89,3,0,2,2,15,7,0.229032258,"sa875023"
2018,"Miles Gordon","CIN","A",20,57,204,233,43,30,5,6,2,37,8,23,0,46,1,3,2,1,17,6,0.210784313,"sa875024"
2019,"Miles Gordon","CIN","A",21,63,226,254,47,36,6,2,3,23,25,16,1,67,2,4,6,4,13,4,0.207964601,"sa875024"
2017,"Demi Orimoloye","MIL","A",20,125,467,518,100,62,23,4,11,57,45,40,0,139,5,4,2,9,38,11,0.214132762,"sa875027"
2018,"Demi Orimoloye","MIL","A",21,61,215,245,56,37,9,5,5,27,23,22,0,52,6,2,0,4,15,5,0.260465116,"sa875027"
2017,"Jagger Rusconi","BOS","A",20,45,167,173,34,28,3,1,2,13,11,5,0,52,1,0,0,3,4,3,0.203592814,"sa875030"
2018,"Jagger Rusconi","BOS","A",21,35,126,134,26,17,4,2,3,17,4,3,0,40,2,1,2,3,1,1,0.206349206,"sa875030"
2016,"Corey Zangari","CHW","A",19,57,223,248,37,20,9,0,8,22,24,20,0,106,4,0,1,1,0,2,0.165919282,"sa875065"
2019,"Corey Zangari","CHW","A",22,85,290,344,59,25,18,1,15,44,38,44,2,115,5,5,0,1,2,1,0.203448275,"sa875065"
2016,"Roman Collins","KCR","A",22,90,354,394,87,61,13,4,9,50,36,37,0,64,2,1,0,6,11,6,0.245762711,"sa875081"
2016,"Jared Foster","LAA","A",23,69,267,292,71,44,20,2,5,26,33,20,0,48,1,4,0,5,3,8,0.265917602,"sa875097"
2018,"Moises Gomez","TBR","A",19,122,471,516,132,72,34,7,19,67,82,34,0,137,3,8,0,11,4,3,0.280254777,"sa875163"
2016,"J.C. Cardenas","TOR","A",22,78,262,291,54,37,14,0,3,28,25,27,0,71,0,1,1,6,2,1,0.20610687,"sa875166"
2016,"Brian Mundell","COL","A",22,136,537,611,168,94,59,1,14,94,83,56,5,83,10,8,0,12,7,8,0.312849162,"sa875185"
2016,"Mitch Piatnik","CIN","A",21,78,273,297,65,49,11,2,3,39,16,16,2,115,1,1,6,2,10,6,0.238095238,"sa875194"
2018,"Mitch Piatnik","CIN","A",23,27,86,93,15,12,3,0,0,8,6,5,0,43,1,0,0,1,3,2,0.174418604,"sa875194"
2018,"Aldemar Burgos","SDP","A",21,27,77,87,15,12,2,0,1,10,3,6,0,27,1,1,2,1,0,0,0.194805194,"sa875196"
2016,"Jhalan Jackson","NYY","A",23,103,386,431,91,48,28,4,11,48,50,38,0,114,5,2,0,7,6,8,0.235751295,"sa875208"
2018,"Seamus Curran","BAL","A",20,85,312,347,69,40,16,0,13,43,52,34,0,105,0,1,0,5,0,0,0.221153846,"sa875212"
