#,Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+
26,Corey Seager,2 Tms,3642,9.50%,17.50%,0.55,0.286,0.357,0.51,0.868,0.224,2.9,0.307,3.4,-1.3,-0.8,-3.4,590,151.8,0.366,134
27,Matt Olson,2 Tms,4445,11.60%,23.80%,0.49,0.255,0.349,0.514,0.862,0.258,2.2,0.283,-2.6,0.6,-10.7,-4,711,179,0.364,133
28,Tommy Pham,2 Tms,1754,12.50%,21.70%,0.58,0.284,0.381,0.475,0.856,0.191,5.9,0.339,8.3,-4.5,4.5,4.2,285,71.4,0.367,133
29,Yandy Díaz,2 Tms,2483,12.20%,14.90%,0.81,0.29,0.381,0.438,0.819,0.148,2.7,0.326,-7.2,-6.1,-9.1,-4.6,383,83.8,0.357,132
30,Christian Yelich,2 Tms,3951,12.90%,22.30%,0.58,0.282,0.38,0.483,0.862,0.201,6,0.339,18,1,16.7,13.6,646,170.5,0.368,131
31,Pete Alonso,NYM,3607,9.90%,22.80%,0.44,0.249,0.339,0.514,0.854,0.266,3.1,0.262,-11.4,-0.5,-8.8,-1.4,564,130.3,0.358,131
32,Max Muncy,LAD,2475,15.40%,24.30%,0.63,0.235,0.361,0.489,0.85,0.254,3.6,0.258,3.5,8.6,0.1,-0.4,395,97.4,0.362,130
33,Charlie Blackmon,COL,1421,8.70%,18.90%,0.46,0.311,0.379,0.552,0.931,0.241,6.6,0.35,4.2,0.8,3.9,-1.6,257,87.3,0.391,130
34,Jackson Merrill,SDP,593,4.90%,17.00%,0.29,0.292,0.326,0.5,0.826,0.208,6.1,0.318,-0.2,0.4,2.8,1,89,19.7,0.352,130
35,Julio Rodríguez,SEA,1887,6.60%,25.20%,0.26,0.277,0.334,0.467,0.801,0.19,5.7,0.339,5.4,1.5,5.7,5.1,270,47.5,0.344,130
36,Brandon Nimmo,NYM,3633,12.90%,22.40%,0.58,0.261,0.372,0.441,0.813,0.18,5.1,0.321,2.1,3.5,8.9,-3.8,555,121.5,0.355,129
37,Seiya Suzuki,CHC,1614,10.20%,24.80%,0.41,0.278,0.354,0.47,0.824,0.192,5.1,0.347,-1.9,1.3,0.8,-4,244,53.8,0.354,129
38,Royce Lewis,MIN,605,8.10%,22.10%,0.37,0.268,0.327,0.497,0.825,0.23,3.2,0.295,0.2,-0.5,-1.2,-0.3,90,18.6,0.351,128
39,José Abreu,CHW,1228,5.90%,18.60%,0.32,0.287,0.341,0.517,0.858,0.23,4,0.314,-0.4,-3.4,-3.1,0.3,189,42.1,0.359,128
40,Bobby Witt Jr.,KCR,2035,6.20%,17.80%,0.35,0.288,0.336,0.505,0.841,0.217,7.6,0.316,9.2,0.7,14.4,4.9,312,71.8,0.356,128
41,Nolan Arenado,2 Tms,3489,9.00%,14.60%,0.62,0.291,0.356,0.545,0.901,0.254,3.3,0.293,6.6,-3.2,0.1,-3,590,170.1,0.375,127
42,Justin Smoak,TOR,1231,12.70%,23.10%,0.55,0.256,0.353,0.495,0.847,0.238,1.4,0.29,-8.8,0,-8.3,-1.6,191,43.6,0.36,127
43,Carlos Correa,2 Tms,3668,10.70%,20.60%,0.52,0.275,0.354,0.471,0.825,0.196,2.5,0.314,0.2,-10.9,-2.9,-3.7,552,111.7,0.352,127
44,Anthony Rizzo,2 Tms,2788,11.20%,13.70%,0.82,0.27,0.377,0.479,0.855,0.209,3.8,0.276,-14.8,-1.3,-15,-1.5,447,108.2,0.364,127
45,William Contreras,2 Tms,1861,10.70%,22.90%,0.47,0.277,0.358,0.465,0.822,0.188,4,0.335,-5,-2.8,-8.6,-1.1,284,63.3,0.355,126
46,Brandon Lowe,TBR,2441,10.00%,27.40%,0.37,0.245,0.33,0.482,0.812,0.237,5,0.293,9.4,4.9,5.4,2.1,357,62.4,0.346,126
47,Triston Casas,BOS,840,14.20%,26.90%,0.53,0.25,0.357,0.473,0.83,0.223,2.2,0.304,-2.7,0.3,-3.4,-1.8,130,29.2,0.357,125
48,Rafael Devers,BOS,4215,8.50%,21.20%,0.4,0.279,0.345,0.511,0.856,0.231,3.8,0.316,7.4,-1.9,-0.4,-5.4,659,152.3,0.359,125
49,Manny Machado,3 Tms,4842,8.90%,17.60%,0.51,0.276,0.34,0.495,0.835,0.219,3.8,0.292,-2.7,-7.1,-5.9,0.7,724,142.1,0.351,125
50,Ketel Marte,ARI,3823,9.50%,15.70%,0.61,0.283,0.355,0.49,0.845,0.207,5.2,0.306,0.6,-1.4,6.1,0.7,597,138.1,0.359,124
