Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2016,"Webster Rivas","LAA","A",25,98,0.071428571,0.132653061,0.538461538,0.220930232,0.28125,0.302325581,0.583575581,0.081395349,1.2005494462500002,0.253333333,0.004653294163290411,7.750420620988824,-2.9011388808975433,0.2754459132750829,72.76324766919099,"14636"
2017,"Webster Rivas","SDP","A",26,78,0.115384615,0.166666666,0.692307692,0.231884057,0.32051282,0.318840579,0.639353399,0.086956522,0.14285714,0.272727272,-0.0026781502092489973,7.944690569190923,-1.2393326173735217,0.30219443944784313,86.50555870561635,"14636"
2016,"Gosuke Katoh","NYY","A",21,253,0.102766798,0.260869565,0.393939393,0.229357798,0.32,0.334862385,0.654862385,0.105504587,6.932538184498697,0.320261437,0.771318900748156,26.424910454170323,-2.2338245081738455,0.3065263056755066,92.20543226660578,"15697"
2016,"Yonathan Daza","COL","A",22,516,0.044573643,0.15116279,0.294871794,0.307368421,0.34063745,0.408421052,0.749058502,0.101052631,3.327376394710189,0.361111111,-2.439438156201504,67.20616321768412,8.755936970373481,0.3406099802005791,114.98015924408223,"15794"
2016,"Jose Godoy","STL","A",21,327,0.088685015,0.103975535,0.852941176,0.292682926,0.371165644,0.341463414,0.712629058,0.048780488,2.0963868477029295,0.326771653,-0.15769772810745053,40.664956641911076,5.1235285080657444,0.33780156495770436,114.41565175369732,"15808"
2016,"Luis Torrens","NYY","A",20,164,0.134146341,0.158536585,0.846153846,0.230215827,0.347560975,0.316546762,0.664107737,0.086330935,1.2864237835203869,0.27027027,-0.22178214852465317,18.653551371499866,0.07634768049415677,0.31880636731298956,100.4109750948746,"15905"
2016,"Deivy Grullon","PHI","A",20,356,0.084269662,0.233146067,0.361445783,0.25625,0.320224719,0.375,0.695224719,0.11875,1.3981743586396993,0.323404255,-1.2340357643552125,40.71447562398934,0.3883505386354817,0.3196325409278441,100.9630246839078,"15988"
2016,"Michael Hermosillo","LAA","A",21,160,0.1125,0.1375,0.818181818,0.326086956,0.411392405,0.442028985,0.85342139,0.115942029,4.691303285497326,0.377192982,-0.3345166642975528,27.147806022629734,9.757504795060154,0.40021834569641307,156.10888889946983,"16285"
2016,"Francisco Mejia","CLE","A",20,259,0.057915057,0.15057915,0.384615384,0.347280334,0.38372093,0.531380753,0.915101683,0.184100419,4.737310077608422,0.387755102,0.21605386784358416,46.48234237979122,18.33179226766297,0.41370923145144595,165.1205471816516,"16403"
2016,"Sergio Alcantara","ARI","A",19,201,0.069651741,0.129353233,0.538461538,0.266666666,0.313131313,0.327777777,0.64090909,0.061111111,3.622521779691609,0.299363057,-0.15215647712466307,19.558479915490988,-2.288086001643296,0.30054140452182654,89.52656444805932,"16417"
2016,"Thairo Estrada","NYY","A",20,148,0.054054054,0.141891891,0.38095238,0.285714285,0.324324324,0.428571428,0.752895752,0.142857143,5.369409255896418,0.307017543,0.9919680619495921,19.492362610842406,2.727569036032377,0.3425397389643901,116.26962493669288,"16426"
2016,"Johneshwy Fargas","SFG","A",21,323,0.074303405,0.176470588,0.421052631,0.274914089,0.339563862,0.35395189,0.693515752,0.079037801,6.844057676163471,0.334763948,2.7886407347978093,37.70314471505035,1.1151154943500867,0.32275246663999707,103.04776047822546,"16446"
2017,"Johneshwy Fargas","SFG","A",22,131,0.045801526,0.183206106,0.25,0.205128205,0.284615384,0.299145299,0.583760683,0.094017094,7.052050214771337,0.25,-0.8384661779273301,11.09697823771106,-3.915170224524868,0.2769910537279569,73.91998730645555,"16446"
2016,"Shed Long Jr.","CIN","A",20,389,0.113110539,0.218508997,0.517647058,0.280597014,0.371428571,0.456716417,0.828144988,0.176119403,5.249932515311178,0.345833333,2.0778146009979537,61.847828995286804,19.567659135758266,0.3855054304197237,146.28093785046224,"16542"
2016,"Kevin Padlo","TBR","A",19,509,0.155206286,0.263261296,0.589552238,0.229468599,0.357707509,0.413043478,0.770750987,0.183574879,5.39448121072899,0.292592592,-0.6089012752199778,72.13374598379322,16.810850203587485,0.36171112154970075,130.38678645885767,"16593"
2016,"Brian O'Keefe","STL","A",22,420,0.123809523,0.185714285,0.666666666,0.257703081,0.359523809,0.448179271,0.80770308,0.19047619,2.8819120159665492,0.292592592,-0.15653440456662793,63.67930289296077,18.02976217059062,0.3753481163865044,139.49604286326434,"16680"
2017,"Brian O'Keefe","STL","A",23,411,0.08272506,0.216545012,0.382022471,0.260053619,0.321167883,0.434316353,0.755484236,0.174262734,3.0964497566791027,0.301470588,0.15707100291911047,54.384202915262485,5.991465355288293,0.3415321748332096,112.38091841335269,"16680"
2016,"Joshua Fuentes","COL","A",23,108,0.037037037,0.203703703,0.181818181,0.397849462,0.442307692,0.677419354,1.119727046,0.279569892,3.563985999080125,0.478260869,-1.1979727365542203,26.447740734422688,14.213972450101856,0.49207084625959396,216.18637953376077,"16885"
2017,"Jonah Heim","TBR","A",22,321,0.084112149,0.177570093,0.47368421,0.268041237,0.327102803,0.426116838,0.753219641,0.158075601,2.8731346421113324,0.302631578,-0.4201335865946021,42.303716759560515,4.5079290302376025,0.34084219501768687,111.92706727670671,"16930"
2016,"Lane Thomas","TOR","A",20,332,0.135542168,0.322289156,0.420560747,0.216312056,0.33030303,0.34751773,0.67782076,0.131205674,6.523412675201806,0.321428571,1.5084409295086516,38.33071399507123,2.2458389478643515,0.3255379212625099,106.22376811593861,"16939"
2016,"Derek Hill","DET","A",20,415,0.057831325,0.253012048,0.228571428,0.265625,0.312348668,0.348958333,0.661307001,0.083333333,9.058109405301522,0.360714285,4.730268757746671,43.13580047682675,-1.9702933321818445,0.3096813387789969,95.63186885451753,"16947"
2017,"Derek Hill","DET","A",21,168,0.095238095,0.226190476,0.421052631,0.284722222,0.367469879,0.444444444,0.811914323,0.159722222,8.546643840194113,0.373831775,0.3432027538365219,25.582424828300102,5.801451811084371,0.3672971237136657,129.32844509739368,"16947"
