#,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
128,Jordan Qsar,TBR,A,23-23,233,15.50%,39.90%,0.39,0.209,0.335,0.418,0.753,0.209,6.4,0.34,0.1,33,5.7,0.354,121
129,Travis Blankenhorn,MIN,A,20-20,508,9.30%,23.40%,0.39,0.251,0.343,0.441,0.784,0.189,7.3,0.312,1.8,72,12.3,0.354,121
130,David Fry,MIL,A,22-23,577,8.70%,19.80%,0.44,0.257,0.327,0.441,0.768,0.183,3.6,0.296,-0.4,81,14,0.354,121
131,Jonathan Aranda,TBR,A,21-21,246,12.20%,17.50%,0.7,0.275,0.359,0.398,0.757,0.123,3.6,0.325,-0.3,34,5.9,0.353,121
132,Nate Easley,SDP,A,21-21,304,13.50%,21.10%,0.64,0.261,0.367,0.393,0.76,0.132,7,0.333,1.1,43,7.1,0.353,120
133,Zack Shannon,ARI,A,23-23,381,10.80%,24.70%,0.44,0.252,0.339,0.414,0.753,0.162,3.1,0.313,0.7,53,8.9,0.353,120
134,Dillon Paulson,LAD,A,22-22,361,15.50%,24.40%,0.64,0.223,0.343,0.407,0.75,0.183,2.5,0.27,-0.1,50,8.2,0.352,120
135,Nolan Gorman,STL,A,18-19,389,10.80%,30.30%,0.36,0.23,0.326,0.442,0.768,0.212,4.2,0.298,-0.5,54,8.7,0.352,119
136,Nick Yarnall,LAD,A,22-23,251,13.10%,26.30%,0.5,0.24,0.339,0.429,0.767,0.189,3.6,0.296,0.2,35,5.5,0.352,119
137,Nick Podkul,TOR,A,22-22,241,13.70%,17.00%,0.8,0.254,0.369,0.368,0.737,0.114,6.9,0.306,1.9,33,5.5,0.352,120
138,Chandler Taylor,HOU,A,22-22,262,17.60%,35.10%,0.5,0.214,0.351,0.4,0.751,0.186,4.1,0.322,-2.7,36,5.6,0.351,118
139,Ramon Hernandez,ARI,A,21-21,480,4.20%,18.10%,0.23,0.294,0.338,0.438,0.776,0.144,2.6,0.338,-1.9,67,10.6,0.351,119
140,Brendon Davis,LAD,A,19-19,367,12.80%,29.20%,0.44,0.245,0.357,0.403,0.76,0.158,4,0.345,-2.3,51,7.9,0.351,118
141,Jeter Downs,CIN,A,19-19,524,9.90%,19.70%,0.5,0.257,0.351,0.402,0.753,0.145,6.2,0.306,3.2,71,10.7,0.35,118
142,Edwin Díaz,OAK,A,21-21,351,12.30%,25.90%,0.47,0.255,0.35,0.414,0.763,0.159,3.5,0.33,0,49,7.5,0.35,118
143,Vince Jackson,STL,A,23-23,289,9.70%,24.60%,0.39,0.266,0.336,0.445,0.781,0.18,3.8,0.331,-0.8,40,5.8,0.349,117
144,Kyle Nowlin,OAK,A,23-23,490,14.10%,27.10%,0.52,0.248,0.357,0.394,0.751,0.147,1.9,0.336,-0.4,68,9.9,0.349,117
145,Hunter Hargrove,OAK,A,23-23,525,7.00%,11.60%,0.61,0.29,0.352,0.407,0.759,0.117,2.1,0.314,0,70,9.9,0.348,116
146,Kungkuan Giljegiljaw,CLE,A,23-23,518,7.70%,17.60%,0.44,0.269,0.338,0.426,0.764,0.157,1.2,0.301,0,71,10.2,0.348,117
147,Blaze Alexander,ARI,A,20-20,406,10.30%,21.90%,0.47,0.262,0.355,0.382,0.737,0.12,6.8,0.324,1,55,8,0.348,117
148,Jose Vicente,CLE,A,21-22,530,5.10%,20.60%,0.25,0.264,0.3,0.478,0.778,0.214,3.4,0.294,-1.1,71,9.9,0.348,116
149,Connor McVey,MIL,A,24-24,397,15.40%,21.70%,0.71,0.232,0.381,0.319,0.701,0.087,5.2,0.303,0,54,7.7,0.347,117
150,Josh Rojas,HOU,A,23-23,219,6.80%,19.60%,0.35,0.256,0.306,0.487,0.793,0.231,4.6,0.268,0,30,4.1,0.347,116
151,Tyler Friis,CLE,A,22-22,249,12.40%,10.40%,1.19,0.266,0.359,0.383,0.742,0.117,5.4,0.289,-0.5,33,4.4,0.347,115
152,Jahmai Jones,LAA,A,19-19,387,8.30%,16.30%,0.51,0.272,0.338,0.425,0.763,0.153,6.7,0.309,0.7,53,7,0.346,115
153,Jorge Oña,SDP,A,20-20,465,8.60%,24.70%,0.35,0.277,0.351,0.405,0.755,0.128,4.1,0.357,0.8,63,8.4,0.346,115
154,Jose Miranda,MIN,A,20-20,439,5.90%,11.60%,0.51,0.277,0.326,0.434,0.76,0.157,2.2,0.286,-0.5,58,7.3,0.346,115
155,Pabel Manzanero,CIN,A,23-23,352,2.30%,21.90%,0.1,0.281,0.304,0.45,0.754,0.169,2.9,0.336,0.1,47,6.4,0.346,116
156,Miguel Amaya,CHC,A,19-19,479,10.40%,19.00%,0.55,0.256,0.349,0.403,0.752,0.147,3.1,0.298,0.1,63,8,0.345,114
157,Nate Mondou,OAK,A,22-22,288,10.80%,14.90%,0.72,0.296,0.371,0.385,0.755,0.089,5.6,0.348,0.4,39,4.9,0.345,115
158,Jake Brodt,TOR,A,23-23,400,11.30%,33.30%,0.34,0.238,0.33,0.407,0.737,0.169,5.3,0.341,0.6,53,7,0.345,115
159,Malik Collymore,CIN,A,22-23,209,9.60%,25.80%,0.37,0.25,0.34,0.408,0.747,0.158,7.4,0.333,0.8,28,3.5,0.345,114
160,Nick Zammarelli III,SEA,A,22-22,446,8.10%,24.90%,0.32,0.282,0.348,0.406,0.754,0.125,4.5,0.373,-0.5,60,7.5,0.344,114
161,Rodrigo Orozco,TOR,A,22-22,330,11.80%,15.80%,0.75,0.282,0.367,0.373,0.74,0.092,5.1,0.338,-0.1,44,5.4,0.344,114
162,Jose Medina,CLE,A,22-23,383,8.60%,22.20%,0.39,0.256,0.329,0.424,0.753,0.169,3,0.304,-1.1,51,6.1,0.344,114
163,Bruce Yari,CIN,A,22-22,374,11.00%,26.20%,0.42,0.252,0.334,0.422,0.757,0.17,2.8,0.317,0.4,50,6.1,0.344,114
164,Lewin Díaz,MIN,A,20-20,508,4.90%,15.70%,0.31,0.292,0.329,0.444,0.773,0.152,2.5,0.322,0,68,8.2,0.344,114
165,Jazz Chisholm Jr.,ARI,A,19-20,466,8.60%,29.20%,0.29,0.245,0.315,0.442,0.757,0.197,7.3,0.321,1.3,61,6.9,0.343,113
166,Clayton Daniel,CHC,A,23-24,331,11.50%,12.10%,0.95,0.275,0.361,0.362,0.723,0.087,4.3,0.31,-0.3,43,5,0.343,113
167,Mike Martin,OAK,A,24-24,298,7.40%,13.80%,0.54,0.3,0.362,0.38,0.742,0.08,7.1,0.348,3.1,40,4.6,0.343,113
168,Daniel Schneemann,CLE,A,21-22,269,9.30%,20.10%,0.46,0.278,0.357,0.363,0.72,0.084,4.7,0.35,-0.5,35,4.2,0.343,114
169,Jordan Gore,MIN,A,22-23,330,11.20%,23.30%,0.48,0.281,0.365,0.365,0.73,0.084,5.4,0.372,-0.1,43,4.9,0.343,113
170,Eduardo Diaz,ARI,A,20-21,452,6.40%,21.50%,0.3,0.266,0.329,0.406,0.735,0.14,7.1,0.326,1.4,59,6.5,0.342,112
171,Brent Diaz,MIL,A,22-23,332,13.30%,23.20%,0.57,0.232,0.347,0.375,0.722,0.143,4.8,0.287,-0.3,43,4.9,0.342,113
172,Brian O'Keefe,STL,A,23-23,411,8.30%,21.70%,0.38,0.26,0.321,0.434,0.755,0.174,3.1,0.301,0.2,54,6,0.342,112
173,John Valente,DET,A,23-24,247,6.10%,8.50%,0.71,0.317,0.363,0.362,0.725,0.045,4,0.345,-1.3,32,3.6,0.341,113
174,Andy Weber,CHC,A,21-21,544,7.90%,20.20%,0.39,0.275,0.338,0.4,0.738,0.125,6,0.347,0.8,71,8.2,0.341,113
175,Alberto Mineo,CHC,A,22-22,405,11.60%,16.30%,0.71,0.278,0.374,0.358,0.732,0.08,4.9,0.342,0.6,54,5.8,0.341,112
176,James Outman,LAD,A,22-22,509,11.00%,25.10%,0.44,0.226,0.322,0.407,0.729,0.181,5.9,0.272,-0.2,66,7.6,0.341,113
177,Devin Davis,TBR,A,21-21,385,7.80%,17.40%,0.45,0.284,0.349,0.386,0.735,0.102,1.4,0.332,-0.3,50,5.2,0.341,112
178,Ryan McCarvel,STL,A,22-22,390,10.50%,29.00%,0.36,0.23,0.313,0.449,0.762,0.219,4.1,0.289,-1.5,51,5.6,0.341,112
179,Saige Jenco,LAD,A,22-22,347,13.50%,21.60%,0.63,0.242,0.354,0.379,0.732,0.137,7.1,0.312,-0.9,46,4.9,0.341,112
180,Jonah Heim,TBR,A,22-22,321,8.40%,17.80%,0.47,0.268,0.327,0.426,0.753,0.158,2.9,0.303,-0.4,42,4.5,0.341,112
181,Buddy Kennedy,ARI,A,20-20,438,10.70%,18.50%,0.58,0.262,0.342,0.384,0.727,0.122,4.3,0.312,-1,57,6.3,0.341,112
182,Nick Sinay,TOR,A,23-23,293,10.90%,19.80%,0.55,0.215,0.405,0.256,0.661,0.041,7.3,0.288,0.5,38,4,0.34,112
183,Brock Carpenter,LAD,A,22-23,222,9.90%,31.50%,0.31,0.246,0.324,0.417,0.741,0.171,5.5,0.355,0.1,28,2.8,0.34,111
184,Caleb Hamilton,MIN,A,22-22,367,14.70%,26.40%,0.56,0.221,0.342,0.394,0.736,0.173,5.1,0.291,-1.1,48,5,0.34,111
185,D.C. Arendas,LAA,A,25-25,222,14.00%,30.60%,0.46,0.201,0.329,0.391,0.72,0.19,5.8,0.277,0.3,29,3.1,0.34,112
186,Christian Williams,TOR,A,22-23,407,8.80%,27.50%,0.32,0.27,0.342,0.399,0.741,0.129,3.6,0.368,0.2,53,5.3,0.34,111
187,Luis Ayala,CHC,A,21-21,447,9.60%,19.20%,0.5,0.281,0.36,0.373,0.734,0.092,6.4,0.351,-1.4,59,6,0.34,111
188,Jeisson Rosario,SDP,A,18-18,521,12.70%,20.70%,0.61,0.271,0.368,0.353,0.722,0.083,6.2,0.347,-1.4,66,6.4,0.34,111
189,Ryan Gridley,OAK,A,23-24,474,9.30%,16.50%,0.56,0.264,0.346,0.375,0.721,0.111,4.3,0.311,-1.2,61,6.1,0.34,111
190,Chris Betts,TBR,A,21-22,537,13.60%,28.30%,0.48,0.213,0.33,0.388,0.718,0.175,4,0.269,0.4,69,7,0.339,111
191,Rod Boykin,SDP,A,22-22,235,9.80%,32.80%,0.3,0.249,0.329,0.415,0.744,0.166,6.7,0.366,-0.2,31,3,0.339,111
192,Tristen Lutz,MIL,A,19-19,503,9.10%,27.60%,0.33,0.245,0.321,0.421,0.742,0.176,5.2,0.322,0.5,64,5.9,0.339,110
193,J.D. Osborne,MIA,A,23-23,344,5.20%,24.10%,0.22,0.258,0.317,0.413,0.73,0.155,3.9,0.315,0.5,44,4.5,0.339,111
194,Christian Donahue,CHC,A,23-23,318,9.10%,19.80%,0.46,0.287,0.352,0.379,0.732,0.092,3.9,0.359,-0.3,40,3.7,0.339,110
195,Orlando Martinez,LAA,A,20-20,238,7.10%,23.50%,0.3,0.289,0.34,0.394,0.735,0.106,4.4,0.373,-0.9,30,2.8,0.339,110
196,Yoel Yanqui,ARI,A,22-22,552,8.90%,18.10%,0.49,0.289,0.356,0.38,0.736,0.091,5.3,0.351,-1.2,70,6.3,0.339,110
197,Max Schuemann,OAK,A,22-22,389,7.70%,19.30%,0.4,0.256,0.339,0.374,0.713,0.118,6.5,0.318,0.4,50,5,0.338,111
198,Gabriel Maciel,MIN,A,19-20,626,9.30%,16.30%,0.57,0.288,0.36,0.356,0.716,0.068,6.3,0.347,-0.3,79,7.2,0.338,110
199,Lucius Fox,TBR,A,19-19,345,9.60%,23.20%,0.41,0.278,0.362,0.361,0.722,0.083,7.1,0.371,1.3,45,4.1,0.338,110
200,Gareth Morgan,SEA,A,21-21,462,11.50%,40.00%,0.29,0.23,0.32,0.422,0.743,0.193,5.8,0.371,0.7,60,5.5,0.338,110
201,Josh Lester,DET,A,22-22,285,4.20%,16.10%,0.26,0.275,0.309,0.449,0.758,0.174,2.8,0.298,-0.2,37,3.3,0.338,110
202,Thomas Jones,MIA,A,21-21,448,6.90%,30.10%,0.23,0.239,0.332,0.382,0.714,0.143,6,0.337,0,57,5.5,0.338,111
203,Jawuan Harris,SDP,A,22-22,438,14.40%,32.20%,0.45,0.212,0.346,0.352,0.698,0.14,8.4,0.324,3.2,56,5.4,0.338,111
204,Michael Wielansky,HOU,A,22-22,238,10.10%,18.10%,0.56,0.254,0.345,0.364,0.708,0.11,6.5,0.311,-0.1,30,2.9,0.338,111
205,Nash Knight,TOR,A,24-24,376,13.60%,17.00%,0.8,0.261,0.366,0.355,0.722,0.094,4.2,0.316,0.8,49,4.3,0.338,110
206,Oscar Gonzalez,CLE,A,20-20,480,2.50%,22.30%,0.11,0.292,0.31,0.435,0.745,0.143,3.1,0.353,-1.5,60,5.1,0.338,109
207,Oscar Campos,HOU,A,22-22,211,3.30%,13.30%,0.25,0.295,0.322,0.405,0.727,0.11,3.9,0.324,0.5,27,2.5,0.337,110
208,Bo Naylor,CLE,A,19-19,453,9.50%,23.00%,0.41,0.243,0.313,0.421,0.734,0.178,6.2,0.296,-0.8,58,5.4,0.337,110
209,Tirso Ornelas,SDP,A,18-18,355,11.30%,19.20%,0.59,0.252,0.341,0.392,0.732,0.139,5.2,0.297,0.5,44,3.6,0.337,109
210,Jordyn Adams,LAA,A,19-19,428,11.70%,22.00%,0.53,0.25,0.346,0.358,0.703,0.108,5,0.316,0.2,54,5,0.337,110
211,Joshua Palacios,TOR,A,21-21,419,10.00%,18.60%,0.54,0.28,0.36,0.361,0.722,0.082,5.8,0.347,-0.1,54,4.6,0.337,109
212,Corey Julks,HOU,A,22-22,261,10.30%,19.20%,0.54,0.259,0.341,0.379,0.72,0.121,6.8,0.315,0.3,33,2.6,0.337,109
213,Devin Foyle,OAK,A,22-22,393,13.20%,24.90%,0.53,0.235,0.347,0.355,0.702,0.119,6.2,0.313,-0.2,50,4.4,0.336,110
214,J.C. Rodriguez,OAK,A,21-21,229,12.20%,14.40%,0.85,0.244,0.348,0.373,0.721,0.13,1.4,0.272,-0.4,29,2.4,0.336,109
215,Joe Cronin,MIN,A,23-25,222,13.10%,26.60%,0.49,0.216,0.336,0.384,0.72,0.168,5.1,0.287,-0.6,28,2.1,0.336,108
216,Kramer Robertson,STL,A,22-22,242,8.70%,14.90%,0.58,0.27,0.351,0.367,0.719,0.098,4.9,0.313,0.4,31,2.5,0.336,109
217,Luis Liberato,SEA,A,21-21,223,10.30%,22.90%,0.45,0.23,0.309,0.445,0.754,0.215,6.9,0.277,-0.6,29,2.3,0.336,109
218,Isaac Paredes,CHC,A,18-18,517,8.10%,13.00%,0.63,0.252,0.338,0.387,0.725,0.135,2.8,0.273,0,66,5.2,0.336,108
219,Zach Rutherford,TBR,A,22-22,484,8.50%,20.50%,0.41,0.268,0.345,0.373,0.718,0.106,5.1,0.333,1.2,60,4.3,0.335,108
220,Esteury Ruiz,SDP,A,19-19,493,7.70%,28.60%,0.27,0.253,0.324,0.403,0.728,0.15,8.1,0.345,5.2,61,4.4,0.335,108
221,Andre Lipcius,DET,A,21-21,283,9.50%,20.10%,0.47,0.273,0.344,0.36,0.704,0.087,2.9,0.344,-0.3,35,2.8,0.334,108
222,Carl Chester,TBR,A,22-22,439,5.00%,15.30%,0.33,0.285,0.328,0.412,0.74,0.127,6.9,0.323,0.1,54,3.6,0.334,107
223,Ramiro Rodriguez,HOU,A,21-21,207,16.90%,17.90%,0.95,0.217,0.357,0.335,0.693,0.118,7.2,0.256,-1.1,26,2,0.334,108
224,Michael Cruz,CHC,A,21-22,394,9.10%,11.70%,0.78,0.234,0.314,0.419,0.733,0.185,2.2,0.236,0.1,49,3.2,0.334,107
225,Blake Hunt,SDP,A,20-20,376,9.30%,17.80%,0.52,0.255,0.331,0.381,0.712,0.126,4.7,0.303,0.3,47,3.5,0.334,108
226,Scott Schreiber,HOU,A,22-23,360,9.70%,31.10%,0.31,0.241,0.325,0.389,0.714,0.147,5,0.342,1.1,44,2.8,0.334,107
227,Andruw Monasterio,CHC,A,20-20,261,8.40%,14.60%,0.58,0.281,0.351,0.368,0.719,0.087,6,0.33,-0.3,33,2.2,0.333,107
228,Dennis Ortega,STL,A,20-21,294,8.80%,19.70%,0.45,0.266,0.332,0.388,0.72,0.122,4.3,0.318,0.1,36,2.2,0.333,106
229,John Jones,OAK,A,23-23,357,14.60%,24.10%,0.6,0.238,0.356,0.329,0.685,0.091,2,0.311,-0.6,44,3.2,0.333,108
230,Jesus Navarro,TOR,A,20-20,211,9.50%,15.60%,0.61,0.288,0.355,0.359,0.714,0.071,3.2,0.335,0.3,26,1.5,0.333,106
231,Chris Pieters,CHC,A,22-22,351,10.00%,20.80%,0.48,0.254,0.34,0.384,0.724,0.13,7.2,0.319,-1.1,44,2.8,0.333,107
232,Luis Silverio,ARI,A,22-23,596,5.50%,23.00%,0.24,0.273,0.319,0.415,0.734,0.143,6.9,0.347,-0.3,74,4.5,0.333,106
233,Mickey McDonald,OAK,A,23-23,442,9.30%,17.20%,0.54,0.284,0.356,0.353,0.709,0.069,6.9,0.348,4.3,54,3,0.333,106
234,Tucker Neuhaus,MIL,A,22-22,355,5.60%,27.90%,0.2,0.245,0.297,0.452,0.749,0.207,4,0.306,-1.3,45,2.7,0.333,107
235,Leo Rivas,LAA,A,19-20,663,15.70%,24.10%,0.65,0.239,0.365,0.325,0.691,0.086,6.3,0.329,0.2,81,4.6,0.333,106
236,Bryan De La Cruz,HOU,A,20-21,304,8.90%,20.70%,0.43,0.281,0.345,0.372,0.718,0.091,4.7,0.355,-1.7,37,2,0.332,106
237,Luis Campusano,SDP,A,19-19,284,6.70%,15.10%,0.44,0.288,0.345,0.365,0.71,0.077,1.4,0.335,-0.5,35,1.8,0.332,106
238,Colton Shaver,HOU,A,22-22,378,9.00%,22.20%,0.4,0.223,0.307,0.422,0.729,0.199,3.2,0.246,-0.5,46,2.4,0.332,105
239,Ridge Smith,TOR,A,22-23,210,11.00%,19.50%,0.56,0.25,0.333,0.394,0.728,0.144,4.4,0.298,0.4,26,1.5,0.332,106
240,Cody Bohanek,HOU,A,21-22,208,11.10%,20.70%,0.53,0.234,0.351,0.343,0.694,0.109,6.5,0.287,0.5,25,1.3,0.332,105
241,Brayan Morales,LAD,A,21-22,401,7.00%,27.70%,0.25,0.266,0.339,0.371,0.71,0.105,8.5,0.378,3.4,49,2.4,0.331,105
242,Luis Alejandro Basabe,ARI,A,20-21,313,12.80%,24.60%,0.52,0.257,0.355,0.353,0.708,0.097,3.9,0.353,-1.3,39,1.9,0.331,105
243,Brady Whalen,STL,A,21-21,508,11.00%,19.90%,0.55,0.248,0.335,0.37,0.705,0.122,2.6,0.299,-2.2,62,3.8,0.331,106
244,Michael Beltre,CIN,A,21-22,665,11.70%,18.90%,0.62,0.255,0.348,0.36,0.708,0.105,6.3,0.315,0,82,3.8,0.331,105
245,Connor Fitzsimons,LAA,A,23-24,456,9.60%,37.30%,0.26,0.231,0.329,0.372,0.701,0.141,3.6,0.37,-1,56,3,0.331,106
246,Ariel Sandoval,SEA,A,22-22,525,9.00%,33.00%,0.27,0.242,0.312,0.409,0.721,0.167,6,0.338,-0.2,63,2.8,0.331,105
247,D.J. Wilson,CHC,A,20-20,348,9.50%,25.60%,0.37,0.229,0.309,0.419,0.729,0.19,8.2,0.292,0.1,43,2.1,0.33,105
248,Grant Witherspoon,TBR,A,22-22,490,9.00%,20.60%,0.44,0.248,0.316,0.393,0.71,0.145,7.2,0.297,1.8,60,3.3,0.33,106
249,Payton Henry,MIL,A,21-21,389,9.80%,31.90%,0.31,0.234,0.327,0.38,0.707,0.145,3.4,0.335,-1.1,47,1.9,0.33,104
250,Gleyvin Pineda,LAA,A,21-22,290,12.40%,23.10%,0.54,0.258,0.352,0.341,0.693,0.083,4.7,0.335,0.5,35,1.6,0.33,105
251,Aaron Whitefield,MIN,A,20-20,460,6.70%,25.70%,0.26,0.262,0.318,0.414,0.732,0.153,8.3,0.332,2.9,57,2.4,0.33,104
252,Luke Heyer,LAD,A,21-22,634,9.10%,28.40%,0.32,0.236,0.319,0.385,0.703,0.148,4.5,0.313,-0.6,77,3.4,0.329,105
253,Tanner Kirwer,TOR,A,23-23,209,9.60%,23.40%,0.41,0.26,0.353,0.326,0.679,0.066,8,0.351,2.7,25,1.3,0.329,105
254,Joe Rizzo,SEA,A,19-19,480,13.10%,23.50%,0.56,0.254,0.354,0.346,0.701,0.093,2.3,0.33,0.2,59,2.4,0.329,104
255,Brady Policelli,DET,A,23-23,400,8.30%,19.50%,0.42,0.248,0.319,0.393,0.712,0.145,6.9,0.298,0.5,48,1.5,0.329,103
256,Austin Beck,OAK,A,19-19,534,5.60%,21.90%,0.26,0.296,0.335,0.383,0.719,0.087,4.6,0.377,-1,64,2,0.329,103
257,J.V. Martinez,CIN,A,20-20,507,10.10%,22.10%,0.46,0.238,0.33,0.361,0.691,0.122,3.2,0.301,-0.8,61,2.7,0.328,105
258,Seaver Whalen,TBR,A,24-24,279,7.20%,15.40%,0.47,0.237,0.327,0.361,0.688,0.124,3.5,0.262,0.3,34,1.5,0.328,105
259,Nick Osborne,OAK,A,22-22,275,8.40%,31.60%,0.26,0.24,0.302,0.411,0.712,0.171,4.2,0.331,-0.9,33,1.4,0.328,105
260,Samad Taylor,TOR,A,19-19,530,10.80%,18.70%,0.58,0.23,0.321,0.389,0.71,0.159,8,0.273,2.2,63,1.8,0.328,103
261,Darren Seferina,MIL,A,24-24,281,14.20%,18.50%,0.77,0.242,0.349,0.346,0.695,0.104,6.4,0.296,-0.7,33,1,0.328,103
262,Luis Barrera,OAK,A,21-21,301,5.30%,20.30%,0.26,0.277,0.32,0.406,0.726,0.129,7.5,0.341,-0.3,37,1.3,0.328,104
263,Jalen Washington,SDP,A,23-23,377,11.90%,21.80%,0.55,0.234,0.334,0.364,0.699,0.131,5.5,0.286,-0.7,45,1.3,0.328,103
264,Dylan Carlson,STL,A,18-19,508,12.20%,24.80%,0.49,0.24,0.345,0.356,0.701,0.116,4,0.315,-0.9,62,2,0.328,103
265,Hudson Potts,SDP,A,18-18,522,4.40%,26.80%,0.16,0.253,0.293,0.438,0.731,0.185,3.5,0.312,-0.4,64,2.1,0.328,103
266,Francisco Del Valle,LAA,A,20-20,480,13.10%,23.50%,0.56,0.204,0.33,0.352,0.681,0.147,4.1,0.262,-0.8,58,2.4,0.328,104
267,Trey Cabbage,MIN,A,20-22,630,8.30%,31.10%,0.27,0.246,0.313,0.405,0.718,0.158,4.6,0.343,0.1,75,2,0.328,103
268,Jack Meggs,OAK,A,23-23,379,8.20%,18.20%,0.45,0.261,0.319,0.394,0.713,0.133,4,0.308,-0.1,45,1.2,0.328,103
269,Matt Fiedler,STL,A,22-23,345,8.70%,19.40%,0.45,0.257,0.33,0.381,0.712,0.124,5.7,0.308,0.1,41,1.1,0.327,103
270,Leandro Cedeño,STL,A,20-20,396,4.50%,25.50%,0.18,0.27,0.311,0.396,0.707,0.126,4,0.351,0.3,47,1.7,0.327,104
271,Zach Kirtley,STL,A,21-21,307,9.40%,19.50%,0.48,0.262,0.349,0.339,0.688,0.077,2.6,0.333,-0.5,36,0.8,0.327,102
272,Zach Davis,CHC,A,23-24,331,9.70%,21.50%,0.45,0.276,0.358,0.329,0.686,0.052,8.9,0.362,2.2,39,0.6,0.326,102
273,Devin Mann,LAD,A,21-21,264,12.90%,18.90%,0.68,0.241,0.348,0.335,0.683,0.094,4.5,0.299,-0.3,31,0.4,0.326,101
274,Jesus Lopez,OAK,A,20-22,479,5.60%,16.10%,0.35,0.259,0.309,0.404,0.713,0.145,4.3,0.289,-0.1,56,0.8,0.326,102
275,Joseph Pena,OAK,A,23-23,413,14.80%,15.70%,0.94,0.241,0.364,0.295,0.659,0.054,5.5,0.291,0,49,1.4,0.326,103
276,Jordan Zimmerman,LAA,A,22-22,359,7.50%,22.00%,0.34,0.27,0.325,0.393,0.718,0.123,6.4,0.339,-0.1,43,0.8,0.326,102
277,Austin Filiere,CHC,A,22-22,501,10.20%,25.70%,0.4,0.253,0.335,0.362,0.698,0.109,2.2,0.338,-0.6,58,0.7,0.325,101
278,Jay Schuyler,CIN,A,22-22,440,9.30%,17.00%,0.55,0.26,0.336,0.351,0.686,0.09,3.8,0.308,-1.2,52,1.4,0.325,103
279,Josh Lowe,TBR,A,19-19,507,8.30%,28.40%,0.29,0.268,0.326,0.386,0.712,0.118,5.6,0.369,1.1,61,1.1,0.325,102
280,Luis Rengifo,SEA,A,20-20,554,7.40%,17.50%,0.42,0.25,0.316,0.397,0.713,0.147,7.1,0.287,-0.2,66,1.1,0.325,102
281,Ulrich Bojarski,DET,A,19-20,457,3.50%,22.30%,0.16,0.267,0.297,0.412,0.709,0.145,5.6,0.32,-0.2,54,1,0.324,102
282,Christian Cavaness,MIN,A,23-23,330,9.70%,32.10%,0.3,0.24,0.317,0.397,0.714,0.158,6.1,0.352,-1.9,39,0.4,0.324,101
283,Kevonte Mitchell,CHC,A,21-21,459,8.30%,23.50%,0.35,0.245,0.316,0.397,0.713,0.152,6.9,0.304,1.7,55,0.5,0.324,101
284,Dan Robinson,LAD,A,22-22,374,13.40%,18.20%,0.74,0.24,0.345,0.324,0.669,0.084,5.1,0.298,-0.2,44,0.8,0.324,102
285,Nick Plummer,STL,A,20-21,757,15.90%,31.70%,0.5,0.202,0.351,0.316,0.666,0.114,5,0.309,-3.1,88,0.4,0.324,100
286,Dylan Rosa,DET,A,22-22,421,10.00%,30.60%,0.33,0.229,0.311,0.388,0.699,0.16,5.6,0.318,-1.5,49,0.1,0.324,100
287,Eric Mariñez,OAK,A,21-21,456,8.60%,18.90%,0.45,0.278,0.341,0.359,0.699,0.08,4.2,0.344,0.4,54,0.2,0.323,100
288,Chris Torres,MIA,A,21-21,508,14.80%,27.80%,0.53,0.234,0.346,0.317,0.664,0.083,7.5,0.337,2.4,59,0.8,0.323,101
289,Ben Rodriguez,MIN,A,23-24,537,8.40%,27.90%,0.3,0.237,0.305,0.397,0.702,0.16,3,0.307,-0.5,62,0.4,0.323,101
290,Cole Roederer,CHC,A,19-19,448,11.60%,25.00%,0.46,0.224,0.319,0.365,0.684,0.141,5.9,0.285,1,52,0.6,0.323,101
291,Miles Mastrobuoni,TBR,A,21-21,439,11.60%,15.00%,0.77,0.264,0.346,0.348,0.695,0.084,6,0.307,0.7,52,0,0.323,100
292,Delvin Zinn,CHC,A,21-22,497,6.40%,19.10%,0.34,0.279,0.338,0.344,0.682,0.065,5.4,0.347,-0.4,57,0.1,0.323,100
293,César Salazar,HOU,A,22-23,329,6.40%,16.40%,0.39,0.25,0.316,0.373,0.689,0.123,4,0.282,-0.3,38,0.2,0.323,101
294,René Pinto,TBR,A,20-20,293,5.80%,14.00%,0.41,0.283,0.328,0.379,0.707,0.097,3.8,0.322,0.2,34,0,0.323,100
295,Garrett McCain,DET,A,22-22,319,11.90%,22.90%,0.52,0.245,0.364,0.294,0.657,0.048,3.9,0.337,-2.6,36,-0.3,0.322,99
296,Bubba Hollins,MIA,A,23-23,386,6.70%,16.60%,0.41,0.269,0.33,0.352,0.682,0.083,1.7,0.322,-1,45,0.3,0.322,101
297,Ronnie Gideon,MIL,A,22-22,438,8.90%,30.40%,0.29,0.228,0.301,0.413,0.714,0.185,3.6,0.302,-0.5,51,-0.2,0.322,100
298,Andres Sotillo,TOR,A,23-24,233,7.30%,23.60%,0.31,0.261,0.343,0.335,0.678,0.074,2.4,0.347,-0.9,27,-0.2,0.322,99
299,Jack Suwinski,SDP,A,18-19,973,9.50%,23.40%,0.4,0.24,0.321,0.376,0.697,0.136,5.5,0.302,-0.8,113,-0.9,0.322,99
