#,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
466,Harrison Wenson,LAA,A,23-24,136,442,529,70,31,21,0,18,59,61,71,0,221,11,1,3,5,6,1,0.158
467,Robbie Tenerowicz,TBR,A,22-22,95,349,390,103,64,25,3,11,43,37,32,0,67,8,1,0,6,4,3,0.295
468,Jose Medina,CLE,A,22-23,102,344,383,88,57,17,1,13,50,33,33,1,85,5,1,0,1,1,3,0.256
469,Miguel Eladio,CLE,A,21-22,147,538,566,128,94,17,7,10,53,56,20,0,148,3,1,4,7,4,2,0.238
470,Darren Seferina,MIL,A,24-24,63,240,281,58,42,10,3,3,37,16,40,1,52,0,1,0,1,13,8,0.242
471,Zac Shepherd,DET,A,21-22,63,206,253,39,30,9,0,0,29,19,44,0,84,2,1,0,2,1,2,0.189
472,Jesus Lopez,OAK,A,20-22,125,441,479,114,77,22,3,12,49,56,27,1,77,6,1,4,11,6,3,0.259
473,Joe Cronin,MIN,A,23-25,57,185,222,40,23,8,4,5,29,15,29,0,59,5,1,2,2,1,2,0.216
474,Fidel Mejia,CHC,A,20-20,56,202,221,50,39,9,0,2,16,24,15,0,47,1,1,2,6,0,1,0.248
475,Chris Torres,MIA,A,21-21,112,432,508,101,78,14,5,4,82,32,75,0,141,0,1,0,3,25,6,0.234
476,Gleyvin Pineda,LAA,A,21-22,75,252,290,65,53,7,1,4,39,28,36,1,67,1,1,0,3,5,1,0.258
477,Miguelangel Sierra,HOU,A,20-20,100,391,419,90,60,16,3,11,36,48,26,0,143,0,1,1,2,3,4,0.23
478,Saige Jenco,LAD,A,22-22,90,293,347,71,45,16,6,4,53,28,47,0,75,4,1,1,5,12,8,0.242
479,Garrett Whitley,TBR,A,20-20,104,358,426,89,54,18,4,13,65,61,57,0,122,7,1,3,4,21,4,0.249
480,Adam Walton,ARI,A,23-23,72,244,266,65,47,15,1,2,26,25,17,0,60,3,1,1,7,6,2,0.266
481,Alexis Garcia,DET,A,20-20,64,211,225,45,34,8,2,1,28,17,8,0,66,5,1,0,0,9,6,0.213
482,J.V. Martinez,CIN,A,20-20,129,441,507,105,71,22,4,8,49,50,51,1,112,10,1,1,6,1,2,0.238
483,Antonio Pinero,MIL,A,20-20,78,259,278,49,32,12,2,3,33,29,12,0,72,2,1,4,6,5,6,0.189
484,Leonel Valera,LAD,A,19-19,122,449,504,108,84,15,4,5,78,42,49,0,137,5,1,0,7,27,6,0.241
485,Danny Hudzina,STL,A,23-23,74,270,295,68,48,12,0,8,28,32,22,2,53,1,1,1,3,1,1,0.252
486,Brady Policelli,DET,A,23-23,98,359,400,89,57,19,6,7,43,28,33,0,78,5,1,2,7,19,8,0.248
487,Hank Morrison,MIN,A,23-23,53,184,203,40,29,6,1,4,21,10,10,0,41,8,1,0,4,2,0,0.217
488,Robby Rinn,MIN,A,25-25,48,187,206,57,41,12,1,3,26,21,15,0,28,3,1,0,4,0,0,0.305
489,G.K. Young,SDP,A,22-22,95,324,355,78,51,13,3,11,34,47,29,0,104,1,1,0,7,1,0,0.241
490,Nick Yarnall,LAD,A,22-23,62,217,251,52,32,9,1,10,33,31,33,0,66,0,1,0,2,1,0,0.24
491,Gabriel Maciel,MIN,A,19-20,143,559,626,161,135,17,6,3,88,40,58,0,102,5,1,2,6,24,12,0.288
492,Jose Cuas,MIL,A,23-23,54,174,203,34,19,8,4,3,23,13,21,0,54,7,0,1,4,5,3,0.195
493,Jermaine Palacios,MIN,A,20-20,62,259,276,83,53,13,6,11,52,39,12,0,46,5,0,0,7,9,8,0.32
494,Andrew Young,STL,A,23-23,58,211,244,60,33,11,4,12,31,38,22,1,54,10,0,1,4,5,2,0.284
495,Bo Bichette,TOR,A,19-19,70,284,317,109,64,32,3,10,60,51,28,0,55,5,0,0,3,12,3,0.384
496,Jhonny Pereda,CHC,A,21-21,92,317,359,79,66,13,0,0,33,29,37,2,60,4,0,1,10,2,3,0.249
497,Eguy Rosario,SDP,A,17-17,50,180,204,37,26,9,2,0,15,13,20,0,51,3,0,1,4,17,5,0.206
498,Kramer Robertson,STL,A,22-22,54,215,242,58,43,12,0,3,34,13,21,0,36,6,0,0,2,10,4,0.27
499,Corey Julks,HOU,A,22-22,64,232,261,60,42,12,2,4,40,31,27,0,50,2,0,0,6,14,6,0.259
500,Mickey McDonald,OAK,A,23-23,110,391,442,111,91,15,3,2,59,25,41,2,76,3,0,7,5,22,0,0.284
501,Michael Papierski,HOU,A,22-22,93,297,369,55,38,12,0,5,44,27,64,0,69,8,0,0,5,4,1,0.185
502,Jerar Encarnacion,MIA,A,21-21,68,255,281,76,50,16,0,10,34,43,23,2,69,3,0,0,5,3,1,0.298
503,Levi Jordan,CHC,A,23-23,66,231,256,51,39,10,1,1,28,16,19,0,48,3,0,3,2,5,3,0.221
504,Dominic Fletcher,ARI,A,21-21,55,214,239,68,48,14,1,5,33,28,22,2,50,3,0,0,7,1,1,0.318
505,Tanner Kirwer,TOR,A,23-23,52,181,209,47,39,5,2,1,28,11,20,0,49,6,0,2,2,18,2,0.26
506,Freudis Nova,HOU,A,19-19,75,282,299,73,49,20,1,3,35,29,15,0,68,2,0,0,3,10,7,0.259
507,Robbie Podorsky,SDP,A,23-23,57,205,229,75,62,7,5,1,34,25,12,0,24,7,0,5,3,23,5,0.366
508,Dylan Rosa,DET,A,22-22,107,376,421,86,54,15,6,11,53,53,42,0,129,3,0,0,7,5,6,0.229
509,Michael Wielansky,HOU,A,22-22,61,209,238,53,38,9,4,2,33,25,24,0,43,5,0,0,8,4,2,0.254
510,Davis Bradshaw,MIA,A,21-21,63,225,247,58,49,7,2,0,27,16,8,1,44,7,0,6,3,6,3,0.258
511,Josh Shaw,STL,A,22-22,84,274,299,63,50,13,0,0,32,19,20,0,39,5,0,0,6,1,5,0.23
512,Jordan Qsar,TBR,A,23-23,59,196,233,41,21,8,3,9,32,28,36,0,93,1,0,0,1,5,2,0.209
513,Connor Scott,MIA,A,19-19,95,378,413,95,63,24,4,4,56,36,31,1,91,2,0,1,2,21,9,0.251
514,Korry Howell,MIL,A,20-20,91,293,335,69,52,12,3,2,35,22,37,0,94,4,0,1,4,19,8,0.235
515,Luis Alejandro Basabe,ARI,A,20-21,80,269,313,69,48,18,1,2,31,14,40,2,77,1,0,3,1,8,7,0.257
516,Malik Collymore,CIN,A,22-23,54,184,209,46,28,11,3,4,26,25,20,0,54,5,0,0,3,8,2,0.25
517,Brock Carpenter,LAD,A,22-23,57,199,222,49,29,11,4,5,21,20,22,0,70,1,0,0,5,3,1,0.246
518,Jeyson Sanchez,LAA,A,22-23,92,288,337,48,32,11,0,5,30,24,37,0,71,12,0,0,10,3,2,0.167
519,Onil Pena,SEA,A,21-21,53,177,202,37,26,8,1,2,15,15,19,0,60,6,0,0,7,0,0,0.209
520,Brennon Lund,LAA,A,22-22,46,173,201,53,40,7,4,2,25,18,24,1,26,3,0,1,3,14,3,0.306
521,Kevin Vicuña,TOR,A,19-20,101,422,449,116,90,17,7,2,66,41,20,0,69,6,0,1,8,13,10,0.275
522,D.J. Wilson,CHC,A,20-20,88,310,348,71,38,16,8,9,56,45,33,0,89,3,0,2,2,15,7,0.229
523,Nick Sinay,TOR,A,23-23,79,219,293,47,41,4,1,1,44,16,32,0,58,38,0,4,3,23,10,0.215
524,Collin Theroux,OAK,A,23-23,84,273,311,40,16,11,0,13,34,30,38,0,143,0,0,0,4,1,0,0.147
525,Bren Spillane,CIN,A,22-22,62,213,243,44,29,10,0,5,31,19,28,0,104,1,0,1,3,5,2,0.207
526,Jay Feliciano,MIL,A,22-22,69,230,255,43,27,12,0,4,26,29,20,0,62,5,0,0,12,0,1,0.187
527,Zach Kirtley,STL,A,21-21,74,271,307,71,53,16,1,1,34,20,29,0,60,7,0,0,5,0,1,0.262
528,Garrett McCain,DET,A,22-22,85,269,319,66,54,11,1,0,39,23,38,0,73,12,0,0,2,6,9,0.245
529,Wander Javier,MIN,A,20-20,80,300,342,53,32,9,1,11,43,37,35,0,116,7,0,0,7,2,0,0.177
530,Starling Heredia,LAD,A,18-19,79,302,330,58,34,15,2,7,32,34,26,0,119,2,0,0,8,8,1,0.192
531,Delvin Pérez,STL,A,20-20,118,458,506,123,102,17,3,1,64,30,27,0,117,14,0,7,13,22,9,0.269
532,Ulysses Cantu,CLE,A,20-21,84,282,323,46,25,13,0,8,29,22,32,1,88,6,0,3,12,0,0,0.163
533,Mitchell Kranson,MIN,A,23-23,57,220,236,59,40,15,1,3,24,21,14,2,41,2,0,0,9,0,0,0.268
534,DJ Jenkins,LAA,A,23-23,52,184,208,53,49,3,1,0,15,11,17,0,43,3,0,4,2,13,4,0.288
535,Nate Easley,SDP,A,21-21,77,257,304,67,45,14,4,4,39,25,41,0,64,2,0,4,6,14,4,0.261
536,Tony Pena,TBR,A,21-21,76,264,288,62,52,8,1,1,26,18,21,0,67,2,0,1,9,7,4,0.235
