#,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
306,Bryan De La Cruz,HOU,A,20-21,75,274,304,77,59,13,3,2,40,34,27,1,63,1,2,0,6,4,6,0.281
307,Keibert Ruiz,LAD,A,18-18,63,227,251,72,53,16,1,2,34,24,18,0,30,3,2,1,6,0,0,0.317
308,Jack Kruger,LAA,A,22-22,69,267,296,62,43,13,2,4,34,23,21,0,54,4,2,2,11,2,1,0.232
309,Caleb Hamilton,MIN,A,22-22,92,307,367,68,37,18,4,9,51,42,54,0,97,3,2,1,7,3,4,0.221
310,Ryan Aguilar,MIL,A,22-22,105,350,409,72,58,8,4,2,42,23,49,0,96,2,2,6,4,7,2,0.206
311,Jorge Oña,SDP,A,20-20,107,415,465,115,85,18,1,11,54,64,40,2,115,8,2,0,13,8,2,0.277
312,Ben Rortvedt,MIN,A,19-20,128,453,493,109,77,25,2,5,47,46,32,0,95,5,2,1,8,2,0,0.241
313,Stuart Fairchild,CIN,A,22-22,67,235,276,65,41,12,5,7,40,37,31,0,65,8,2,0,4,17,4,0.277
314,Tyler Payne,CHC,A,24-25,66,234,259,59,43,9,1,6,26,42,21,0,49,1,2,1,11,0,0,0.252
315,Sean Reynolds,MIA,A,21-21,68,231,266,40,18,12,1,9,28,32,33,0,145,0,2,0,0,7,4,0.173
316,Livan Soto,LAA,A,19-19,64,245,282,54,48,5,0,1,24,20,32,0,40,1,2,2,7,6,2,0.22
317,Geraldo Perdomo,ARI,A,19-19,90,314,385,84,63,16,3,2,48,36,56,0,56,11,2,2,5,20,8,0.268
318,Max Schuemann,OAK,A,22-22,94,340,389,87,54,29,1,3,57,35,30,0,75,14,2,2,6,25,11,0.256
319,Daniel Schneemann,CLE,A,21-22,72,237,269,66,52,10,2,2,27,30,25,0,54,5,2,0,0,6,4,0.278
320,Grae Kessinger,HOU,A,21-21,50,170,201,38,30,6,0,2,25,17,26,2,32,3,2,0,2,8,2,0.224
321,Cole Peterson,DET,A,22-22,66,260,284,72,59,8,5,0,40,21,18,1,37,2,2,2,2,13,7,0.277
322,Joey Morgan,DET,A,21-21,87,290,336,63,46,12,1,4,25,21,32,1,76,6,2,6,7,1,1,0.217
323,Nick Feight,SDP,A,22-23,61,217,230,44,26,15,1,2,18,19,9,1,31,2,2,0,7,1,1,0.203
324,Pat McInerney,MIL,A,23-23,56,187,230,43,24,8,1,10,32,25,37,0,68,3,2,1,9,5,3,0.23
325,Jordan Gore,MIN,A,22-23,90,285,330,80,65,9,3,3,44,26,37,0,77,2,2,4,5,6,3,0.281
326,Mitch Reeves,CLE,A,23-24,71,256,298,67,44,15,1,7,38,43,34,1,60,6,2,0,4,5,2,0.262
327,Michael Curry,SDP,A,21-21,83,284,330,81,54,19,0,8,45,45,41,0,70,3,2,0,8,1,0,0.285
328,Orlando Martinez,LAA,A,20-20,53,218,238,63,47,12,1,3,27,25,17,0,56,1,2,0,3,6,5,0.289
329,Tim Millard,LAA,A,23-24,67,209,248,46,37,5,0,4,22,25,32,1,61,5,2,0,3,2,0,0.22
330,Nick Podkul,TOR,A,22-22,57,201,241,51,34,13,2,2,32,20,33,1,41,5,2,0,2,12,1,0.254
331,Alex Holderbach,HOU,A,22-22,64,219,240,53,42,5,0,6,24,24,19,0,69,0,2,0,4,1,1,0.242
332,Devin Mann,LAD,A,21-21,63,224,264,54,38,13,1,2,26,30,34,0,50,4,2,0,4,7,4,0.241
333,Connor McVey,MIL,A,24-24,98,310,397,72,56,10,1,5,58,25,61,0,86,15,2,9,7,11,5,0.232
334,Justin Jones,LAA,A,23-23,96,312,364,81,63,5,3,10,36,45,42,0,69,8,2,0,11,11,3,0.26
335,John Aiello,TOR,A,22-22,77,260,301,67,41,18,0,8,35,32,25,0,96,14,2,0,4,4,2,0.258
336,Zach Malis,DET,A,22-22,65,213,236,50,40,6,1,3,21,22,17,0,43,3,2,1,6,1,1,0.235
337,Niko Hulsizer,LAD,A,22-22,58,209,256,56,23,17,1,15,46,49,37,3,75,8,2,0,0,4,1,0.268
338,Nick Ward,OAK,A,23-23,85,293,343,68,51,10,3,4,35,35,40,0,91,6,2,2,2,6,1,0.232
339,Lee Solomon,SDP,A,22-22,95,310,362,69,43,22,1,3,31,32,38,1,83,8,2,4,9,3,4,0.223
340,Jake Brodt,TOR,A,23-23,96,349,400,83,53,14,3,13,38,45,45,1,133,4,2,0,6,12,4,0.238
341,Connor Smith,CLE,A,21-22,57,184,213,41,32,6,3,0,20,17,20,0,41,6,2,1,3,2,3,0.223
342,Brennen Davis,CHC,A,19-19,50,177,204,54,34,9,3,8,33,30,18,0,38,5,2,2,3,4,1,0.305
343,D.C. Arendas,LAA,A,25-25,56,184,222,37,18,9,4,6,24,24,31,0,68,5,2,0,1,2,0,0.201
344,Chris Pieters,CHC,A,22-22,86,307,351,78,53,14,7,4,51,31,35,1,73,6,2,1,5,13,9,0.254
345,Eric Mariñez,OAK,A,21-21,114,410,456,114,90,18,3,3,40,30,39,1,86,1,2,4,14,6,2,0.278
346,J.C. Rodriguez,OAK,A,21-21,62,193,229,47,30,13,0,4,22,21,28,0,33,4,2,2,7,0,1,0.244
347,Pabel Manzanero,CIN,A,23-23,86,338,352,95,59,25,1,10,34,44,8,0,77,4,2,0,9,1,0,0.281
348,Michael Beltre,CIN,A,21-22,164,572,665,146,109,21,9,7,78,55,78,1,126,4,2,9,7,21,10,0.255
349,Edwin Díaz,OAK,A,21-21,89,302,351,77,52,12,3,10,49,45,43,0,91,2,2,2,4,0,0,0.255
350,Morgan Lofstrom,CIN,A,21-23,79,251,273,65,42,18,2,3,27,25,12,0,96,6,2,2,0,0,0,0.259
351,JaVon Shelby,OAK,A,22-23,141,467,522,85,57,15,2,11,52,49,47,1,212,5,2,1,9,12,8,0.182
352,Mark Karaviotis,ARI,A,21-21,57,202,236,62,46,13,1,2,35,21,21,0,54,11,2,0,2,1,0,0.307
353,Anthony Jimenez,SEA,A,21-21,64,228,256,68,42,17,2,7,43,33,19,0,73,5,2,2,3,24,10,0.298
354,Joantgel Segovia,MIL,A,20-21,161,615,667,161,135,22,1,3,58,58,35,1,96,6,2,9,19,23,7,0.262
355,Wander Franco,HOU,A,20-20,64,226,246,52,36,9,1,6,25,30,18,0,66,0,2,0,5,1,1,0.23
356,Alexis Wilson,STL,A,21-22,61,204,226,51,39,8,0,4,16,15,17,0,41,3,2,0,6,1,1,0.25
357,Dennis Ortega,STL,A,20-21,71,263,294,70,50,14,0,6,42,27,26,0,58,1,2,2,3,7,3,0.266
358,Wadye Ynfante,STL,A,21-21,91,301,332,66,55,7,1,3,36,19,21,0,94,8,2,0,7,12,5,0.219
359,Carlos Rivero,CIN,A,20-22,76,221,263,39,30,6,2,1,26,9,30,0,100,0,2,10,3,6,1,0.176
360,Gareth Morgan,SEA,A,21-21,118,405,462,93,52,21,3,17,55,61,53,0,185,2,2,0,3,14,5,0.23
361,Montrell Marshall,CIN,A,22-22,65,226,262,41,20,16,2,3,30,22,30,0,89,4,2,0,3,1,0,0.181
362,Alexis Pantoja,CLE,A,21-21,83,303,325,76,63,11,0,2,34,21,15,0,51,0,2,5,5,10,2,0.251
363,Todd Isaacs,CLE,A,21-22,188,683,728,156,104,34,5,13,77,64,29,2,218,11,2,3,9,48,9,0.228
364,Tra Holmes,ARI,A,21-22,148,523,601,110,84,20,3,3,71,44,51,0,160,21,2,4,8,27,10,0.21
365,Kungkuan Giljegiljaw,CLE,A,23-23,125,465,518,125,86,22,0,17,57,67,40,1,91,10,2,1,12,0,0,0.269
366,Franklin Torres,LAA,A,21-21,82,288,337,82,64,12,2,4,36,39,44,0,60,2,2,1,5,12,1,0.285
367,Oscar Campos,HOU,A,22-22,54,200,211,59,45,10,0,4,21,35,7,0,28,2,2,0,7,5,1,0.295
368,Julio Garcia,LAA,A,20-20,122,456,486,106,79,19,3,5,27,53,17,2,132,4,2,7,8,3,6,0.232
369,Joseph Rosa,SEA,A,20-21,118,442,501,96,81,7,2,6,64,22,50,0,118,5,2,2,7,23,18,0.217
370,Edwin Figuera,STL,A,20-21,88,294,322,71,60,9,1,1,39,23,12,0,66,12,2,2,12,7,5,0.241
371,Johnny Adams,SEA,A,23-23,132,471,522,103,70,20,2,11,63,44,44,0,134,3,2,2,15,8,4,0.219
372,Bryce Denton,STL,A,19-21,135,489,528,113,78,22,2,11,48,49,32,0,125,4,2,1,11,7,1,0.231
373,Alexis Olmeda,LAA,A,23-25,77,258,293,56,40,10,0,6,36,34,31,0,81,1,2,1,9,2,4,0.217
374,Dwanya Williams-Sutton,SDP,A,21-21,95,305,399,72,51,11,1,9,58,52,60,0,99,32,2,0,6,12,2,0.236
375,Delvin Zinn,CHC,A,21-22,123,448,497,125,105,14,3,3,55,35,32,0,95,9,2,6,11,17,9,0.279
376,Kyle Nowlin,OAK,A,23-23,123,416,490,103,64,28,0,11,52,66,69,0,133,3,2,0,14,2,2,0.248
377,DJ Neal,TOR,A,22-22,84,282,307,67,55,7,1,4,38,30,19,0,74,2,2,2,7,16,9,0.238
378,Nash Knight,TOR,A,24-24,87,318,376,83,61,17,2,3,37,54,51,2,64,3,2,2,9,4,0,0.261
379,Christian Cavaness,MIN,A,23-23,89,292,330,70,44,12,8,6,37,38,32,1,106,2,2,2,1,9,9,0.24
