company,Date,Average Positive,Average Negative,Average Difference,ticker,Close Price,next_close,next_return
American Airlines,2025-01-02,0.6517727272727273,0.09228181818181817,0.559490909090909,AAL,17.0,16.969999313354492,-0.0017647462732651655
American Airlines,2025-01-03,0.5991353846153846,0.3412953846153846,0.25783999999999996,AAL,16.969999313354492,16.969999313354492,0.0
American Airlines,2025-01-04,0.3668857142857143,0.14295714285714284,0.22392857142857145,AAL,16.969999313354492,16.969999313354492,0.0
American Airlines,2025-01-05,0.5918857142857143,0.13269142857142857,0.4591942857142857,AAL,16.969999313354492,17.520000457763672,0.03241020428187984
American Airlines,2025-01-06,0.410351875,0.41543,-0.00507812500000001,AAL,17.520000457763672,17.690000534057617,0.009703200448183371
American Airlines,2025-01-07,0.8706571428571428,0.10682857142857143,0.7638285714285714,AAL,17.690000534057617,17.600000381469727,-0.005087628596427576
American Airlines,2025-01-08,0.7871533333333334,0.08449555555555556,0.7026577777777778,AAL,17.600000381469727,17.600000381469727,0.0
American Airlines,2025-01-09,0.8393333333333333,0.0549125,0.7844208333333333,AAL,17.600000381469727,18.3799991607666,0.04431811149948052
American Airlines,2025-01-10,0.5375153846153846,0.06844538461538462,0.46907,AAL,18.3799991607666,18.3799991607666,0.0
American Airlines,2025-01-11,0.5105142857142857,0.10263857142857144,0.4078757142857143,AAL,18.3799991607666,18.3799991607666,0.0
American Airlines,2025-01-12,0.5929249999999999,0.04220625,0.5507187499999999,AAL,18.3799991607666,17.600000381469727,-0.042437367514239994
American Airlines,2025-01-13,0.6064857142857143,0.04428571428571428,0.5622,AAL,17.600000381469727,18.209999084472656,0.0346590164648616
American Airlines,2025-01-14,0.4365259999999999,0.146426,0.29009999999999997,AAL,18.209999084472656,18.06999969482422,-0.007688050339761549
American Airlines,2025-01-15,0.4342641666666667,0.1045675,0.3296966666666667,AAL,18.06999969482422,18.290000915527344,0.012174943243974699
American Airlines,2025-01-16,0.3449125,0.35453250000000003,-0.009619999999999993,AAL,18.290000915527344,18.270000457763672,-0.001093518685758645
American Airlines,2025-01-17,0.7775285714285715,0.08299142857142858,0.6945371428571429,AAL,18.270000457763672,18.270000457763672,0.0
American Airlines,2025-01-19,0.600111111111111,0.16594333333333333,0.4341677777777778,AAL,18.270000457763672,18.270000457763672,0.0
American Airlines,2025-01-20,0.4224691666666667,0.035155,0.3873141666666667,AAL,18.270000457763672,18.639999389648438,0.020251719902258564
American Airlines,2025-01-21,0.7628083333333334,0.103115,0.6596933333333334,AAL,18.639999389648438,18.65999984741211,0.0010729859666615096
American Airlines,2025-01-22,0.58114,0.19612400000000002,0.38501599999999997,AAL,18.65999984741211,17.030000686645508,-0.08735258167714618
American Airlines,2025-01-23,0.24766083333333333,0.033175333333333334,0.2144855,AAL,17.030000686645508,16.959999084472656,-0.004110487337075978
American Airlines,2025-01-24,0.33587058823529414,0.2548341176470588,0.08103647058823533,AAL,16.959999084472656,16.959999084472656,0.0
American Airlines,2025-01-25,0.42506666666666665,0.09940333333333333,0.32566333333333336,AAL,16.959999084472656,16.959999084472656,0.0
American Airlines,2025-01-26,0.47176,0.0687904,0.40296959999999993,AAL,16.959999084472656,17.200000762939453,0.014151043126324517
American Airlines,2025-01-27,0.23606333333333335,0.06270866666666666,0.17335466666666666,AAL,17.200000762939453,17.149999618530273,-0.002907043150655917
American Airlines,2025-01-28,0.43799666666666665,0.03471166666666667,0.40328500000000006,AAL,17.149999618530273,17.329999923706055,0.010495644850119652
American Airlines,2025-01-29,0.7801888888888889,0.03657333333333333,0.7436155555555556,AAL,17.329999923706055,16.899999618530273,-0.02481248165428871
American Airlines,2025-01-30,0.5176763157894737,0.04061052631578947,0.47706578947368417,AAL,16.899999618530273,16.920000076293945,0.0011834590659837681
American Airlines,2025-01-31,0.6335428571428572,0.07123857142857143,0.5623042857142858,AAL,16.920000076293945,16.920000076293945,0.0
American Airlines,2025-02-01,0.6548666666666666,0.044422222222222224,0.6104444444444445,AAL,16.920000076293945,16.920000076293945,0.0
American Airlines,2025-02-02,0.7754888888888889,0.03587666666666667,0.7396122222222222,AAL,16.920000076293945,16.700000762939453,-0.013002323425679294
American Airlines,2025-02-03,0.831325,0.08197,0.749355,AAL,16.700000762939453,16.84000015258789,0.008383196601950063
American Airlines,2025-02-04,0.5462923076923076,0.033379230769230765,0.5129130769230769,AAL,16.84000015258789,16.959999084472656,0.007125827244504197
American Airlines,2025-02-05,0.8786111111111111,0.08398333333333334,0.7946277777777778,AAL,16.959999084472656,17.059999465942383,0.005896249225701884
American Airlines,2025-02-06,0.7192666666666666,0.06655416666666666,0.6527125,AAL,17.059999465942383,17.170000076293945,0.006447867162666768
American Airlines,2025-02-07,0.8641285714285714,0.06473714285714285,0.7993914285714286,AAL,17.170000076293945,17.170000076293945,0.0
American Airlines,2025-02-08,0.7750307692307692,0.04309538461538461,0.7319353846153847,AAL,17.170000076293945,16.6200008392334,-0.03203257044942666
American Airlines,2025-02-10,0.5534133333333333,0.05341666666666667,0.4999966666666667,AAL,16.6200008392334,16.40999984741211,-0.012635438099711637
American Airlines,2025-02-11,0.6017781818181818,0.062236,0.5395421818181819,AAL,16.40999984741211,15.739999771118164,-0.04082876797830109
American Airlines,2025-02-13,0.5051337499999999,0.216746875,0.288386875,AAL,15.739999771118164,15.970000267028809,0.014612484069579207
American Airlines,2025-02-14,0.28483,0.3713675,-0.08653749999999999,AAL,15.970000267028809,15.970000267028809,0.0
American Airlines,2025-02-15,0.7361333333333334,0.08062,0.6555133333333333,AAL,15.970000267028809,15.970000267028809,0.0
American Airlines,2025-02-16,0.5988,0.03651,0.56229,AAL,15.970000267028809,15.970000267028809,0.0
American Airlines,2025-02-17,0.7320059999999999,0.062502,0.669504,AAL,15.970000267028809,16.079999923706055,0.006887893227174713
American Airlines,2025-02-18,0.60002,0.17774,0.42227999999999993,AAL,16.079999923706055,16.0,-0.004975119657066306
American Airlines,2025-02-19,0.7777714285714286,0.1921314285714286,0.5856399999999999,AAL,16.0,15.859999656677246,-0.00875002145767212
American Airlines,2025-02-20,0.6377625,0.337395,0.3003675,AAL,15.859999656677246,15.229999542236328,-0.0397225805850305
American Airlines,2025-02-21,0.7273427272727272,0.1525749090909091,0.5747678181818181,AAL,15.229999542236328,15.229999542236328,0.0
American Airlines,2025-02-23,0.439992,0.029593333333333336,0.41039866666666663,AAL,15.229999542236328,15.3100004196167,0.00525284831155182
American Airlines,2025-02-24,0.45114545454545457,0.06910181818181818,0.3820436363636363,AAL,15.3100004196167,15.130000114440918,-0.011757041165403687
American Airlines,2025-02-25,0.347688,0.02747,0.320218,AAL,15.130000114440918,15.180000305175781,0.0033047052449880886
American Airlines,2025-02-26,0.46524714285714286,0.04579571428571429,0.4194514285714286,AAL,15.180000305175781,14.529999732971191,-0.04281953617503982
American Airlines,2025-02-27,0.58269625,0.27922562500000003,0.303470625,AAL,14.529999732971191,14.350000381469727,-0.012388118018544338
American Airlines,2025-02-28,0.7020866666666666,0.19780333333333333,0.5042833333333333,AAL,14.350000381469727,14.350000381469727,0.0
American Airlines,2025-03-01,0.7718142857142858,0.18327857142857143,0.5885357142857143,AAL,14.350000381469727,14.350000381469727,0.0
American Airlines,2025-03-02,0.6638857142857143,0.07601714285714285,0.5878685714285714,AAL,14.350000381469727,13.869999885559082,-0.033449511020952526
American Airlines,2025-03-03,0.6406225,0.082815,0.5578075,AAL,13.869999885559082,13.350000381469727,-0.03749095229847545
American Airlines,2025-03-04,0.67784,0.22175099999999998,0.45608899999999997,AAL,13.350000381469727,14.09000015258789,0.05543069288187512
American Airlines,2025-03-05,0.5243875,0.0615925,0.462795,AAL,14.09000015258789,13.25,-0.059616759651603624
American Airlines,2025-03-06,0.5765846153846154,0.23029846153846154,0.3462861538461538,AAL,13.25,13.029999732971191,-0.01660379373802329
American Airlines,2025-03-07,0.7898499999999999,0.09991166666666668,0.6899383333333334,AAL,13.029999732971191,13.029999732971191,0.0
American Airlines,2025-03-09,0.5681200000000001,0.120814,0.44730600000000004,AAL,13.029999732971191,12.5,-0.040675344883551824
American Airlines,2025-03-10,0.697675,0.19509,0.5025850000000001,AAL,12.5,11.460000038146973,-0.08319999694824219
American Airlines,2025-03-11,0.4807682352941176,0.06451058823529413,0.41625764705882357,AAL,11.460000038146973,10.670000076293945,-0.0689354240159991
American Airlines,2025-03-13,0.5966672727272727,0.05815363636363636,0.5385136363636364,AAL,10.670000076293945,10.869999885559082,0.018744124445648876
American Airlines,2025-03-14,0.39238066666666666,0.02717466666666667,0.365206,AAL,10.869999885559082,10.869999885559082,0.0
American Airlines,2025-03-15,0.89076,0.066594,0.824166,AAL,10.869999885559082,10.869999885559082,0.0
American Airlines,2025-03-16,0.6485666666666667,0.040625555555555554,0.6079411111111112,AAL,10.869999885559082,11.319999694824219,0.041398326955179324
